TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/06/09
TIME,16:09:34
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  999.9101
LASTX, 8000.2451
NPOINTS,   14521
FIRSTY,     0.00028
MAXY,     4.27694
MINY,    -0.00000
XYDATA
999.9101,0.000278727
1000.3922,-1.17549E-038
1000.8743,-1.17549E-038
1001.3564,-1.17549E-038
1001.8386,-1.17549E-038
1002.3207,-1.17549E-038
1002.8028,-1.17549E-038
1003.2849,-1.17549E-038
1003.7670,-1.17549E-038
1004.2491,-1.17549E-038
1004.7313,-1.17549E-038
1005.2134,-1.17549E-038
1005.6955,-1.17549E-038
1006.1776,0.000882067
1006.6597,0.00334185
1007.1418,0.00502205
1007.6240,0.00545395
1008.1061,0.00474603
1008.5882,0.00347329
1009.0703,0.00226625
1009.5524,0.00140488
1010.0345,0.000721599
1010.5167,-1.17549E-038
1010.9988,-1.17549E-038
1011.4809,-1.17549E-038
1011.9630,-1.17549E-038
1012.4451,-1.17549E-038
1012.9272,0.0010183
1013.4094,0.003763
1013.8915,0.00591363
1014.3736,0.00660831
1014.8557,0.00556369
1015.3378,0.00314933
1015.8199,0.000155558
1016.3021,-1.17549E-038
1016.7842,-1.17549E-038
1017.2663,-1.17549E-038
1017.7484,-1.17549E-038
1018.2305,-1.17549E-038
1018.7126,-1.17549E-038
1019.1948,-1.17549E-038
1019.6769,-1.17549E-038
1020.1590,0.000679714
1020.6411,0.00374055
1021.1232,0.00679118
1021.6053,0.00913586
1022.0875,0.0103342
1022.5696,0.0104498
1023.0517,0.00996325
1023.5338,0.00938014
1024.0160,0.00881344
1024.4980,0.0078833
1024.9802,0.0060704
1025.4623,0.00330021
1025.9445,0.000294506
1026.4265,-1.17549E-038
1026.9087,-1.17549E-038
1027.3907,0.000313299
1027.8729,0.00265781
1028.3550,0.00325584
1028.8372,0.000641101
1029.3192,-1.17549E-038
1029.8014,-1.17549E-038
1030.2834,-1.17549E-038
1030.7656,-1.17549E-038
1031.2477,-1.17549E-038
1031.7299,-1.17549E-038
1032.2119,0.000514023
1032.6941,0.00344313
1033.1761,0.00374899
1033.6583,0.0026249
1034.1404,0.00144289
1034.6226,0.000740083
1035.1046,4.46158E-005
1035.5868,-1.17549E-038
1036.0688,-1.17549E-038
1036.5510,-1.17549E-038
1037.0331,-1.17549E-038
1037.5153,-1.17549E-038
1037.9973,0.000894456
1038.4795,0.00802049
1038.9615,0.0146338
1039.4437,0.0186453
1039.9258,0.0189611
1040.4080,0.015776
1040.8900,0.0103004
1041.3722,0.00420849
1041.8542,-1.17549E-038
1042.3364,-1.17549E-038
1042.8185,-1.17549E-038
1043.3007,-1.17549E-038
1043.7827,0.000741323
1044.2649,0.00262257
1044.7469,0.00195953
1045.2291,-1.17549E-038
1045.7112,-1.17549E-038
1046.1934,-1.17549E-038
1046.6754,-1.17549E-038
1047.1576,-1.17549E-038
1047.6396,-1.17549E-038
1048.1218,-1.17549E-038
1048.6039,-1.17549E-038
1049.0861,-1.17549E-038
1049.5681,-1.17549E-038
1050.0503,-1.17549E-038
1050.5323,-1.17549E-038
1051.0145,-1.17549E-038
1051.4966,0.00299996
1051.9788,0.00444185
1052.4608,0.00383095
1052.9430,0.00178622
1053.4250,-1.17549E-038
1053.9072,-1.17549E-038
1054.3893,-1.17549E-038
1054.8715,-1.17549E-038
1055.3535,0.00250883
1055.8357,0.00624952
1056.3177,0.00979023
1056.7999,0.0124023
1057.2820,0.0136626
1057.7642,0.0134813
1058.2462,0.0120382
1058.7284,0.0097229
1059.2104,0.00710999
1059.6926,0.00490695
1060.1747,0.00378627
1060.6569,0.00412034
1061.1389,0.00577155
1061.6211,0.00811238
1062.1031,0.0103069
1062.5853,0.0116862
1063.0674,0.0119697
1063.5496,0.0112078
1064.0316,0.00953982
1064.5138,0.00700823
1064.9958,0.00360097
1065.4780,-1.17549E-038
1065.9601,-1.17549E-038
1066.4423,-1.17549E-038
1066.9243,-1.17549E-038
1067.4065,-1.17549E-038
1067.8885,-1.17549E-038
1068.3707,0.000891158
1068.8528,0.00633456
1069.3350,0.0105233
1069.8170,0.0126756
1070.2992,0.012819
1070.7813,0.0115862
1071.2634,0.00970972
1071.7455,0.00752017
1072.2277,0.00476627
1072.7097,0.000894888
1073.1919,-1.17549E-038
1073.6740,-1.17549E-038
1074.1561,-1.17549E-038
1074.6382,-1.17549E-038
1075.1204,-1.17549E-038
1075.6024,-1.17549E-038
1076.0846,-1.17549E-038
1076.5667,0.00131873
1077.0488,0.0078487
1077.5309,0.0112398
1078.0131,0.0110035
1078.4951,0.00770262
1078.9773,0.0025739
1079.4594,-1.17549E-038
1079.9415,-1.17549E-038
1080.4236,-1.17549E-038
1080.9058,-1.17549E-038
1081.3878,-1.17549E-038
1081.8700,-1.17549E-038
1082.3521,0.00039212
1082.8342,0.00420069
1083.3163,0.00672755
1083.7985,0.00793186
1084.2805,0.00833066
1084.7627,0.00864157
1085.2448,0.00936925
1085.7269,0.0105518
1086.2090,0.0117652
1086.6912,0.0123413
1087.1732,0.0116744
1087.6554,0.0094966
1088.1375,0.00603509
1088.6196,0.00199862
1089.1017,-1.17549E-038
1089.5839,-1.17549E-038
1090.0659,-1.17549E-038
1090.5481,-1.17549E-038
1091.0302,-1.17549E-038
1091.5123,-1.17549E-038
1091.9944,0.000253126
1092.4766,-1.17549E-038
1092.9586,-1.17549E-038
1093.4408,-1.17549E-038
1093.9229,-1.17549E-038
1094.4050,-1.17549E-038
